year,id,country,date,tournament_stage,mp,fg,fga,x3p,x3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,results,mov,fg_p,x3P_p,ft_p,tsa,ts_p,efg_p,tov_p
2014,2014090128,iran,2014-09-01,Group Play,200,24,46,5,20,17,20,6,18,11,11,1,22,28,70,L,13,0.5217391304347826,0.25,0.85,54.8,0.6386861313868614,0.5760869565217391,28.645833333333336
2014,2014090128,serbia,2014-09-01,Group Play,201,31,53,6,13,15,29,10,27,20,9,2,17,23,83,W,13,0.5849056603773585,0.46153846153846156,0.5172413793103449,65.76,0.6310827250608272,0.6415094339622641,20.541324311261477
2014,2014090129,brazil,2014-09-01,Group Play,201,26,64,3,10,8,15,5,31,7,6,1,6,20,63,L,19,0.40625,0.3,0.5333333333333333,70.6,0.44617563739376775,0.4296875,7.832898172323761
2014,2014090129,spain,2014-09-01,Group Play,200,30,59,11,24,11,16,5,38,17,3,4,10,21,82,W,19,0.5084745762711864,0.4583333333333333,0.6875,66.04,0.6208358570563295,0.6016949152542372,13.150973172014728
2014,2014090230,dominican-republic,2014-09-02,Group Play,200,26,54,7,17,15,25,12,43,17,5,5,22,17,74,W,6,0.48148148148148145,0.4117647058823529,0.6,65,0.5692307692307692,0.5462962962962963,25.28735632183908
2014,2014090230,finland,2014-09-02,Group Play,200,25,70,11,32,7,8,7,22,14,9,1,9,26,68,L,6,0.35714285714285715,0.34375,0.875,73.52,0.4624591947769315,0.4357142857142857,10.906446921958313
2014,2014090231,australia,2014-09-02,Group Play,200,30,64,7,14,15,22,11,31,13,9,0,13,23,82,W,7,0.46875,0.5,0.6818181818181818,73.68,0.5564603691639521,0.5234375,14.99769266266728
2014,2014090231,lithuania,2014-09-02,Group Play,200,25,49,5,16,20,22,2,25,8,4,3,22,21,75,L,7,0.5102040816326531,0.3125,0.9090909090909091,58.68,0.6390593047034765,0.5612244897959183,27.26822012890431
2014,2014090232,angola,2014-09-02,Group Play,202,21,78,4,27,9,11,19,37,10,6,1,9,19,55,L,24,0.2692307692307692,0.14814814814814814,0.8181818181818182,82.84,0.33196523418638335,0.2948717948717949,9.79965156794425
2014,2014090232,mexico,2014-09-02,Group Play,200,27,58,12,26,13,14,7,36,13,7,4,12,18,79,W,24,0.46551724137931033,0.46153846153846156,0.9285714285714286,64.16,0.6156483790523691,0.5689655172413793,15.756302521008404
2014,2014090233,new-zealand,2014-09-02,Group Play,201,29,71,9,26,4,7,11,28,11,3,3,21,22,71,L,27,0.4084507042253521,0.34615384615384615,0.5714285714285714,74.08,0.4792116630669547,0.47183098591549294,22.086663862010937
2014,2014090233,united states,2014-09-02,Group Play,200,35,69,6,17,22,34,15,44,21,14,4,16,13,98,W,27,0.5072463768115942,0.35294117647058826,0.6470588235294118,83.96000000000001,0.5836112434492615,0.5507246376811594,16.00640256102441
2014,2014090234,korea,2014-09-02,Group Play,200,26,60,6,20,14,20,10,31,16,3,8,12,21,72,L,17,0.43333333333333335,0.3,0.7,68.8,0.5232558139534884,0.48333333333333334,14.851485148514852
2014,2014090234,slovenia,2014-09-02,Group Play,200,34,69,11,31,10,18,10,31,11,3,2,8,20,89,W,17,0.4927536231884058,0.3548387096774194,0.5555555555555556,76.92,0.5785231409256371,0.572463768115942,9.420631182289213
2014,2014090235,turkey,2014-09-02,Group Play,200,19,52,6,15,14,19,8,38,12,3,3,13,15,58,L,6,0.36538461538461536,0.4,0.7368421052631579,60.36,0.4804506295559974,0.4230769230769231,17.72082878953108
